Unix,Min,Avg,Max
1483999200,22.125,22.1875,22.2188
1484000100,22.1562,22.1875,22.2188
1484001000,22.1562,22.2083,22.2812
1484001900,22.0625,22.1354,22.2188
1484002800,22.0938,22.1354,22.1875
1484003700,22,22.0417,22.0938
1484004600,21.9375,21.9688,22
1484005500,21.9375,21.9584,21.9688
1484006400,21.9375,21.9583,22
1484007300,21.75,21.8542,21.9375
1484008200,21.8125,21.8542,21.875
1484009100,21.75,21.7917,21.8125
1484010000,21.8125,21.8229,21.8438
1484010900,21.8438,21.875,21.9375
1484011800,21.75,21.8021,21.8438
1484012700,21.7188,21.7396,21.75
1484013600,21.75,21.7917,21.8125
1484014500,21.7188,21.7396,21.75
1484015400,21.6562,21.6875,21.7188
1484016300,21.7188,21.7292,21.75
1484017200,21.5625,21.6354,21.6875
1484018100,21.1875,21.2916,21.4062
1484019000,21,21.0313,21.0938
1484019900,20.75,20.8021,20.875
1484020800,20.5312,20.6354,20.6875
1484021700,20.5312,20.5312,20.5312
1484022600,20.3125,20.3542,20.375
1484023500,20.1562,20.2187,20.2812
1484024400,20.1562,20.1875,20.25
1484025300,19.9062,20.0208,20.125
1484026200,19.8438,19.9167,20
1484027100,19.8438,19.9583,20.1562
1484028000,20.2188,20.3125,20.4688
1484028900,20.5,20.5312,20.5625
1484029800,20.4062,20.4583,20.5
1484030700,20.625,20.6771,20.7188
1484031600,20.5938,20.6563,20.7188
1484032500,20.6562,20.6875,20.7188
1484033400,20.6562,20.6979,20.75
1484034300,20.75,20.7708,20.7812
1484035200,20.6875,20.7292,20.75
1484036100,20.75,20.7813,20.8438
1484037000,20.8125,20.8333,20.875
1484037900,20.7188,20.75,20.8125
1484038800,20.7188,20.8021,20.875
1484039700,20.8438,20.8542,20.875
1484040600,20.7812,20.8021,20.8125
1484041500,20.75,20.8125,20.875
1484042400,20.75,20.8646,20.9688
1484043300,20.9375,20.9896,21.0625
1484044200,21.1562,21.2395,21.2812
1484045100,21.1875,21.2292,21.2812
1484046000,21.25,21.3229,21.375
1484046900,21.3438,21.3646,21.375
1484047800,21.3438,21.3542,21.375
1484048700,21.25,21.3437,21.4062
1484049600,21.3125,21.3334,21.3438
1484050500,21.3438,21.4167,21.5
1484051400,21.3125,21.3438,21.375
1484052300,21.3438,21.3855,21.4688
1484053200,21.375,21.3958,21.4062
1484054100,21.4062,21.4375,21.4688
1484055000,21.375,21.4583,21.5625
1484055900,21.5312,21.5416,21.5625
1484056800,21.5,21.6146,21.7188
1484057700,21.75,21.8125,21.8438
1484058600,21.7812,21.8333,21.9062
1484059500,21.875,21.875,21.875
1484060400,21.8438,21.9271,21.9688
1484061300,21.9062,21.9375,22
1484062200,21.9062,21.9687,22.0312
1484063100,22.0312,22.0729,22.125
1484064000,22.0625,22.1042,22.1562
1484064900,22.125,22.1354,22.1562
1484065800,22.0938,22.1146,22.125
1484066700,22.0938,22.125,22.1562
1484067600,22.125,22.1667,22.2188
1484068500,22.125,22.1458,22.1562
1484069400,22.0312,22.125,22.1875
1484070300,22.1562,22.2083,22.25
1484071200,22.2812,22.3541,22.4062
1484072100,22.2188,22.3229,22.4062
1484073000,22.2188,22.3125,22.375
1484073900,22.2188,22.2396,22.25
1484074800,22.2812,22.3437,22.4062
1484075700,22.2812,22.3125,22.3438
1484076600,22.4062,22.4166,22.4375
1484077500,22.3125,22.3854,22.4375
1484078400,22.2812,22.3229,22.3438
1484079300,22.2812,22.3125,22.3438
1484080200,22.2812,22.3021,22.3125
1484081100,22.3125,22.3334,22.3438
1484082000,22.3438,22.3646,22.4062
1484082900,22.25,22.3229,22.375
