Unix,Time,Cyclical_Time,DayW,Mo,DayM,Avg_S1,Avg_S2,Avg_S3,Avg_S4,Avg_S5,Avg_S6,RH_Avg,OT
1433293200,1,0.965925826,2,5,2,21.8229,22.0417,21.7708,22.7187,21.3437,21.6563,46.29196667,13.222
1433294100,1,0.946930129,2,5,2,21.6458,21.875,21.5417,22.5938,21.1354,21.4688,47.40448333,13.222
1433295000,1,0.923879533,2,5,2,21.4583,21.7292,21.3541,22.3854,20.8854,21.25,48.76991667,13.222
1433295900,1,0.896872742,2,5,2,21.2917,21.5938,21.1979,22.3125,20.7396,21.1042,49.76285,13.222
1433296800,2,0.866025404,2,5,2,21.2083,21.4896,21.0833,22.2187,20.6771,21,50.7333,13.222
1433297700,2,0.831469612,2,5,2,21.0729,21.4063,20.9584,22.1563,20.5208,20.8958,51.4815,13.222
1433298600,2,0.79335334,2,5,2,21.0521,21.3333,20.9166,22.0104,20.4583,20.8125,51.51628333,13.222
1433299500,2,0.751839807,2,5,2,21.125,21.4896,21.1041,22.1458,20.7292,20.9687,50.93195,13.222
1433300400,3,0.707106781,2,5,2,21.3021,21.6146,21.2917,22.3542,20.9896,21.1771,50.17873333,13.222
1433301300,3,0.659345815,2,5,2,21.3854,21.6042,21.3437,22.3229,21.125,21.3646,50.02951667,13.222
1433302200,3,0.608761429,2,5,2,21.4375,21.6771,21.4167,22.3646,21.1458,21.3854,49.96208333,13.222
1433303100,3,0.555570233,2,5,2,21.4271,21.6771,21.4271,22.3437,21.0938,21.3854,49.61168333,13.222
1433304000,4,0.5,3,5,3,21.4792,21.6563,21.4479,22.3542,21.1979,21.3229,49.38273333,13.222
1433304900,4,0.44228869,3,5,3,21.5208,21.6771,21.3959,22.3021,21.2188,21.4063,49.4281,13.222
1433305800,4,0.382683432,3,5,3,21.4792,21.7188,21.3854,22.3229,21.1979,21.4375,49.32538333,13.222
1433306700,4,0.321439465,3,5,3,21.4896,21.7292,21.4167,22.3646,21.2292,21.4375,49.06421667,13.222
1433307600,5,0.258819045,3,5,3,21.5,21.6979,21.4063,22.3854,21.2188,21.4479,48.96878333,13.222
1433308500,5,0.195090322,3,5,3,21.5417,21.6771,21.4583,22.4375,21.2709,21.4896,48.78225,13.222
1433309400,5,0.130526192,3,5,3,21.5416,21.6979,21.4687,22.4062,21.2708,21.4791,48.77623333,13.222
1433310300,5,0.065403129,3,5,3,21.4688,21.6771,21.4792,22.3334,21.2396,21.5521,48.84235,13.222
1433311200,6,6.13E-17,3,5,3,21.5416,21.75,21.4791,22.3541,21.25,21.5417,48.69573333,13.222
1433312100,6,-0.065403129,3,5,3,21.5104,21.75,21.4687,22.3958,21.3021,21.5104,48.4514,13.222
1433313000,6,-0.130526192,3,5,3,21.4584,21.7292,21.4583,22.375,21.2604,21.4896,48.45513333,13.222
1433313900,6,-0.195090322,3,5,3,21.5521,21.8125,21.5,22.4583,21.3229,21.5104,48.4658,13.222
1433314800,7,-0.258819045,3,5,3,21.5,21.7604,21.4896,22.3542,21.2396,21.5313,48.3981,13.222
1433315700,7,-0.321439465,3,5,3,21.5312,21.7708,21.4896,22.3958,21.2813,21.5104,48.36951667,13.222
1433316600,7,-0.382683432,3,5,3,21.5521,21.7812,21.5104,22.4167,21.2708,21.4896,48.20941667,13.222
1433317500,7,-0.44228869,3,5,3,21.4583,21.75,21.4792,22.4688,21.25,21.4792,48.22915,13.222
1433318400,8,-0.5,3,5,3,21.5521,21.7396,21.4896,22.3959,21.3021,21.5104,48.17836667,13.222
1433319300,8,-0.555570233,3,5,3,21.4687,21.6979,21.4375,22.3959,21.2604,21.4896,48.0521,13.222
1433320200,8,-0.608761429,3,5,3,21.4896,21.7292,21.5,22.3958,21.2917,21.5312,48.10008333,13.222
1433321100,8,-0.659345815,3,5,3,21.5417,21.75,21.5521,22.4063,21.2708,21.5,48.03813333,13.222
1433322000,9,-0.707106781,3,5,3,21.5834,21.75,21.5,22.4063,21.2813,21.4687,47.9264,13.222
1433322900,9,-0.751839807,3,5,3,21.4792,21.75,21.5313,22.4063,21.2292,21.5521,47.95926667,13.222
1433323800,9,-0.79335334,3,5,3,21.4687,21.75,21.5208,22.4167,21.25,21.4271,47.78738333,13.222
1433324700,9,-0.831469612,3,5,3,21.5521,21.7292,21.5833,22.3855,21.3437,21.5,46.97375,13.222
1433325600,10,-0.866025404,3,5,3,21.6042,21.75,21.625,22.4792,21.4375,21.5521,46.12723333,15.5
1433326500,10,-0.896872742,3,5,3,21.5416,21.75,21.5625,22.4063,21.4271,21.5729,45.50116667,16.277
1433327400,10,-0.923879533,3,5,3,21.5625,21.7604,21.6354,22.4792,21.4062,21.5729,45.01111667,16.777
1433328300,10,-0.946930129,3,5,3,21.5625,21.7813,21.6042,22.4479,21.3854,21.5417,44.65098333,16.888
1433329200,11,-0.965925826,3,5,3,21.6042,21.8333,21.6354,22.4896,21.4167,21.5833,44.09998333,17
1433330100,11,-0.98078528,3,5,3,21.625,21.8021,21.6458,22.4688,21.4479,21.5416,43.88535,17.277
1433331000,11,-0.991444861,3,5,3,21.5833,21.8854,21.6666,22.4688,21.4375,21.5729,43.57768333,17.5
1433331900,11,-0.997858923,3,5,3,21.6458,21.7812,21.6458,22.4896,21.4166,21.6042,43.61576667,17.5
1433332800,12,-1,3,5,3,21.6771,21.7813,21.6771,22.5,21.4896,21.6042,43.38903333,18
1433333700,12,-0.997858923,3,5,3,21.6667,21.8229,21.6979,22.5417,21.5104,21.625,43.12215,18.611
1433334600,12,-0.991444861,3,5,3,21.7396,21.8125,21.7396,22.5625,21.5209,21.5834,42.74831667,18.888
1433335500,12,-0.98078528,3,5,3,21.7917,21.8646,21.7917,22.6667,21.6458,21.6563,42.4703,19
1433336400,13,-0.965925826,3,5,3,21.8854,21.8854,21.8021,22.7396,21.7292,21.75,42.24108333,19.111
1433337300,13,-0.946930129,3,5,3,21.9271,22.0521,21.8542,22.8229,21.8542,21.8542,41.9095,19.222
1433338200,13,-0.923879533,3,5,3,22.0521,22.1354,21.9688,22.9063,21.9166,21.8854,41.7229,19.388
1433339100,13,-0.896872742,3,5,3,22.0625,22.1979,22.0625,22.9896,22.0312,22,41.58803333,19.611
1433340000,14,-0.866025404,3,5,3,22.1458,22.3229,22.0521,23.0313,22.1458,22.1146,41.45713333,19.5
1433340900,14,-0.831469612,3,5,3,22.1979,22.3854,22.1354,23.0104,22.1875,22.25,41.47686667,19.722
1433341800,14,-0.79335334,3,5,3,22.2396,22.4271,22.0938,23.0313,22.1354,22.2084,41.54091667,20
